ASV_ID,Bengal-C10N17,Bengal-C10N23,Bengal-C11N11,Bengal-C11N23,Bengal-C12N13A,Bengal-C12N13B,Bengal-C12N23A,Bengal-C12N23B,Bengal-C13N11,Bengal-C13N23,Bengal-C14N10A,Bengal-C14N10B,Bengal-C14N23A,Bengal-C14N23B,Bengal-C15N23A,Bengal-C15N23B,Bengal-C16N11,Bengal-C16N23,Bengal-C17N15,Bengal-C17N23,Bengal-C18N17,Bengal-C18N23,Bengal-C1N17,Bengal-C1N23,Bengal-C2N17,Bengal-C2N23,Bengal-C3N17,Bengal-C3N23,Bengal-C4N17A,Bengal-C4N17B,Bengal-C4N17C,Bengal-C4N23,Bengal-C5N13,Bengal-C5N23,Bengal-C6N17,Bengal-C6N23,Bengal-C7N13,Bengal-C7N23,Bengal-C8N13,Bengal-C8N23,Bengal-C9N11,Bengal-C9N23
d41d541ddabdb43de0c25fba35af3b92,0,57,0,58,0,0,21,94,0,0,0,0,127,21,0,37,0,0,0,0,0,0,0,0,0,73,0,34,0,0,0,0,0,0,0,18,0,0,0,48,0,0
77d0bee18d588c419a09c63ddeac95a9,54,0,0,0,74,22,0,0,0,0,56,35,0,0,0,0,0,0,32,0,0,0,112,7,36,7,21,15,24,80,0,6,6,0,0,0,0,0,0,0,0,0
7a2ce07eb3900536571ff7d1a09d6f2b,18,0,0,0,76,0,0,0,18,0,68,0,0,0,0,0,38,0,0,0,22,0,38,0,0,0,13,0,0,78,24,0,0,29,46,0,57,0,35,0,27,0
280108bc740169c93fc2ced5686644bb,0,99,0,75,0,0,0,87,0,0,61,0,143,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0
97f645a5ff4b586d60201a735d2583d4,0,19,0,17,0,0,15,68,0,52,0,0,104,24,36,61,0,23,0,51,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,13,0,17
e864d8946650def0af3c1c4b5d16e736,0,0,0,0,256,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,43,0,154,0,0,0,54,0
4066b3c559257dbd68a0d3c6a940475d,0,35,0,34,0,0,0,37,0,30,20,0,57,12,35,66,0,47,0,49,0,16,0,15,0,0,0,0,0,19,0,12,24,0,0,0,0,0,0,54,0,23
18ef36e6dd33b1171ccf678d1e32198f,0,0,0,0,99,0,0,0,44,0,80,0,0,0,0,0,91,0,79,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,42,0,35,0
3fc44aa8daaf7e04109628e7b1e59ccb,61,0,0,0,73,0,0,0,48,0,42,0,0,0,0,0,32,0,38,0,35,0,0,0,0,0,0,0,0,16,0,0,0,30,58,0,47,0,39,0,65,0
936c591afad4a55344cf00e3c4087dd5,0,0,0,0,72,0,0,0,87,0,119,0,0,0,0,0,52,0,102,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,45,0,0,0
adb12269a036c3a24f1ee713f2cb53c3,0,0,0,0,0,0,0,142,0,0,0,0,47,22,0,74,0,90,0,110,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ea70f6343c9593a91b1c9246f5f69249,0,25,0,12,0,0,0,37,0,22,22,6,46,0,39,68,0,24,8,24,0,15,0,14,13,12,0,0,0,64,0,13,14,0,20,11,16,19,0,18,0,19
ccceabb25f545db35aabb933f677431e,0,0,28,0,102,12,0,0,33,0,34,18,0,0,0,0,29,0,30,0,17,0,0,0,0,0,29,0,0,0,0,0,0,30,51,0,73,0,49,0,46,0
105855d8340e577cf5eebc82bf718c7b,0,0,0,0,127,15,0,0,53,0,64,0,0,0,0,0,53,0,52,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,49,0
b40a0b1d2ceb1e93837e8f7f84eef32f,19,0,0,0,28,0,0,0,0,0,89,15,0,0,0,0,10,0,30,0,0,0,18,0,0,0,17,0,12,291,33,0,0,0,17,0,0,0,0,0,0,0
27fd1027ae1bbc716f8a3dffcf688966,0,0,0,0,43,44,0,0,60,0,62,0,0,0,0,0,67,0,68,0,59,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,71,0,43,0
f1e4e8bca0afb01245cecb4d83f2ca70,0,0,0,0,0,0,31,195,0,90,0,0,58,17,29,54,0,49,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
c60d771678305b1caaed424b016fbb1f,30,0,0,0,28,0,0,0,32,0,133,52,31,0,0,0,35,0,53,0,19,0,29,0,32,0,21,0,0,34,0,0,0,0,0,0,26,0,22,0,0,0
03b6063ab5ed7d2c9d6fae564ecc85f9,23,0,0,0,98,13,0,0,56,0,41,0,0,0,0,0,62,0,24,0,31,0,0,0,0,0,0,0,0,0,0,0,0,19,78,0,58,0,31,0,42,0
3b205aaa4f416e5762714a94484373f3,12,0,0,0,10,0,0,0,0,0,71,18,0,0,0,0,14,0,46,0,7,0,20,16,47,25,18,22,15,186,30,0,0,0,14,5,0,0,0,0,0,0
6ad1e7f4e5530c62557b8342000e7ddd,0,0,0,0,69,26,0,0,58,0,31,0,0,0,0,0,0,0,50,0,50,0,0,0,0,0,55,0,0,0,0,0,0,27,66,0,66,0,0,0,78,0
b5fec6d18db87469ac28f38aff6429cf,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,42,382,86,0,0,0,0,0,0,0,0,0,0,0
6051ea5de2cc3c62f92b9a5f547ed018,31,0,0,0,18,0,0,0,18,0,154,46,0,0,0,0,16,0,0,0,0,0,0,0,0,0,26,0,0,99,0,0,0,0,135,0,32,0,0,0,0,0
