name	edge_num	taxon	like_weight_ratio
seq24911	382	pel_clade_B	0.14449
seq17187	374	pel_clade_B	0.258797
seq39817	375	pel_clade_B	0.588562
seq53495	375	pel_clade_B	0.7956
seq16974	375	pel_clade_B	0.635297
seq25786	375	pel_clade_B	0.299016
seq5387	387	pel_clade_B	0.320741
seq62333	375	pel_clade_B	0.340984
seq10433	390	pel_clade_B	0.937416
seq42005	387	pel_clade_B	0.619569
seq54109	373	pel_clade_B	0.275808
seq22703	390	pel_clade_B	0.808945
seq40611	387	pel_clade_B	0.592635
seq42830	391	pel	0.28937
seq63155	391	pel	0.277951
seq9313	390	pel_clade_B	0.390432
seq52569	391	pel	0.58505
seq62926	391	pel	0.278797
seq50978	390	pel_clade_B	0.351416
seq10250	507	chr	0.40645
seq22358	365	pel_clade_A	0.373099
seq37690	364	pel_clade_A	0.281182
seq6855	369	pel_clade_A	0.866251
seq42159	359	pel_clade_A	0.443557
seq8781	365	pel_clade_A	0.444508
seq5362	369	pel_clade_A	0.914517
seq33924	359	pel_clade_A	0.483815
seq3259	358	pel_clade_A	1
seq29605	358	pel_clade_A	1
seq13559	369	pel_clade_A	0.95437
seq5801	352	pel_clade_A	0.947874
seq6351	351	pel_clade_A	0.785538
seq61249	352	pel_clade_A	0.977437
seq10102	352	pel_clade_A	0.923771
seq55570	352	pel_clade_A	0.297842
seq10822	348	pel_clade_A	0.654985
seq42747	352	pel_clade_A	0.786403
seq63744	352	pel_clade_A	0.404996
seq10268	352	pel_clade_A	0.554796
seq41759	352	pel_clade_A	0.958264
seq40681	352	pel_clade_A	0.360621
seq42560	352	pel_clade_A	0.838246
seq63729	354	pel_clade_A	0.234645
seq41594	353	pel_clade_A	0.198195
seq62665	348	pel_clade_A	0.413946
seq6581	366	pel_clade_A	0.569589
seq61069	366	pel_clade_A	0.688155
seq42612	354	pel_clade_A	0.572921
seq7879	366	pel_clade_A	0.597136
seq5149	341	pel_clade_A	0.525801
seq19403	369	pel_clade_A	0.763822
seq39775	341	pel_clade_A	0.548326
seq42053	341	pel_clade_A	0.488896
seq5540	341	pel_clade_A	0.591257
seq61231	363	pel_clade_A	0.368058
seq53853	348	pel_clade_A	0.489792
seq54279	330	pel_clade_A	0.142857
