name	edge_num	taxon	like_weight_ratio
seq27842	791	str	1
seq50953	791	str	1
seq3432	791	str	1
seq18390	791	str	1
seq35728	791	str	1
seq9457	1378	"NA"	0.278363
seq62061	791	str	1
seq35730	791	str	1
seq7410	791	str	1
seq13881	791	str	1
seq20722	791	str	1
seq53094	791	str	0.45888
seq649	791	str	0.483986
seq59700	791	str	0.53007
seq16498	791	str	0.416661
seq12304	791	str	0.461217
seq54332	791	str	0.461257
seq55835	791	str	0.264267
seq37344	783	str	0.960265
seq28205	782	str	0.581761
seq7404	783	str	0.35099
seq9819	782	str	0.336484
seq20617	784	str	0.371455
seq53762	784	str	0.386156
seq25819	794	str	0.29079700000000003
seq65223	782	str	0.704621
seq5173	784	str	0.358103
seq8008	783	str	0.351129
seq8781	782	str	0.771074
seq61046	784	str	0.371544
seq65313	922	vir	0.570967
seq59950	784	str	0.371676
seq60680	784	str	0.371484
seq56485	782	str	0.33094
seq22358	782	str	0.776667
seq4035	783	str	0.356045
seq13283	784	str	0.378693
seq35302	784	str	0.494758
seq9821	872	vir	0.176952
seq23585	888	vir	0.229755
seq2061	780	str	1
seq4260	780	str	1
seq6148	778	str	1
seq40104	778	str	1
seq7433	778	str	1
seq34721	778	str	1
seq40968	778	str	1
seq20594	778	str	1
seq4460	778	str	1
seq33113	778	str	1
seq3102	778	str	1
seq24879	778	str	1
seq12643	777	str	1
seq18021	781	str	0.306658
seq4353	777	str	1
seq36160	777	str	0.980939
seq4634	778	str	0.322496
seq1806	777	str	1
seq2019	777	str	1
seq61722	777	str	0.966854
seq1370	777	str	0.912186
seq7388	777	str	1
seq953	777	str	0.629294
seq15335	777	str	0.795501
seq3948	784	str	0.490844
seq8273	786	str	0.156477
seq9483	782	str	0.303251
seq36372	794	str	0.405291
seq34000	787	str	0.287563
seq42190	786	str	0.158154
seq8730	776	str	0.414251
seq29966	773	str	0.902955
seq42672	773	str	1
seq2297	773	str	1
seq7022	773	str	0.880122
seq52855	773	str	1
seq60576	773	str	1
seq11922	770	str	0.975975
seq20711	769	str	0.900792
seq59906	769	str	1
seq490	769	str	1
seq13725	769	str	1
seq33302	770	str	0.973124
seq6993	773	str	0.899442
seq47763	773	str	0.847916
seq65085	1377	mel	0.562098
seq55203	776	str	0.357989
seq50984	776	str	0.389283
seq13481	765	str	0.142943
seq12956	765	str	0.150618
seq13658	765	str	0.150058
seq2849	765	str	0.150569
seq19365	765	str	0.142943
seq55068	768	str	0.764879
seq41693	765	str	0.142942
seq492	768	str	0.765059
seq3855	795	str	0.316096
seq9372	759	str	1
seq36617	759	str	1
seq3769	759	str	1
seq37180	1353	cya_glo	0.307686
seq3145	759	str	0.933078
seq33793	759	str	0.9794
seq37711	759	str	0.982425
seq4217	759	str	0.925392
seq1454	759	str	0.916222
seq49058	759	str	0.644906
seq42922	759	str	0.64939499999999994
seq987	758	str	0.465455
seq57427	758	str	0.447693
seq41924	896	vir	0.500579
seq41683	872	vir	0.907013
seq42282	1367	mel	0.796282
seq37380	871	vir	0.605812
seq10263	871	vir	0.606153
seq8133	916	vir	0.467451
seq55367	916	vir	0.313485
seq10283	916	vir	0.482542
seq9828	964	vir	0.417659
seq57714	1032	vir	0.325338
seq57915	922	vir	0.502302
seq21219	923	vir	0.255138
seq6762	794	str	0.622849
seq19874	923	vir	0.258286
seq18038	922	vir	0.501756
seq21599	974	vir	0.381055
seq42260	916	vir	0.29127
seq55944	916	vir	0.413539
seq10253	896	vir	0.85551
seq31957	926	vir	0.235383
